gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
2313,National Research Council of Canada,,228,National Research Council of Canada,a,,100,82,
3675,National Round Table on the Environment and the Economy,,229,National Round Table on the Environment and the Economy,d,2012,100,68,
3579,National Security and Intelligence Review Agency,,302,National Security and Intelligence Review Agency Secretariat,a,,100,82,
2291,National Security and Intelligence Review Agency Secretariat,,302,National Security and Intelligence Review Agency Secretariat,a,,100,86,
2314,Natural Sciences and Engineering Research Council,,230,Natural Sciences and Engineering Research Council,a,,100,76,
3479,"Nature Trust of British Columbia, The",,231,"Nature Trust of British Columbia, The",a,,100,53,
3480,NAV CANADA,,232,NAV CANADA,a,,100,75,
3416,North Portage Development Corporation (operating as The Forks North Portage Partnership),,234,North Portage Development Corporation (operating as The Forks North Portage Partnership),a,,100,71,
2268,Northern Pipeline Agency,,235,Northern Pipeline Agency,a,,100,76,
2270,Office of the Auditor General of Canada,,238,Office of the Auditor General of Canada,a,,100,78,
2271,Office of the Chief Electoral Officer,,239,Office of the Chief Electoral Officer,a,,100,78,
3611,Office of the Chief Science Advisor of Canada,,254,Office of the Umpire,t,2013,78,78,low_score;collision_top2_close
2272,Office of the Commissioner for Federal Judicial Affairs,,240,Office of the Commissioner for Federal Judicial Affairs,a,,100,85,
2273,Office of the Commissioner of Lobbying,,241,Office of the Commissioner of Lobbying,a,,100,85,
2274,Office of the Commissioner of Official Languages,,242,Office of the Commissioner of Official Languages,a,,100,85,
3687,Office of the Commissioner of Review Tribunals,,243,Office of the Commissioner of Review Tribunals,t,2013,100,85,
3430,Office of the Conflict of Interest and Ethics Commissioner,,245,Office of the Conflict of Interest and Ethics Commissioner,a,,100,85,
2276,Office of the Correctional Investigator of Canada,,247,Office of the Correctional Investigator of Canada,a,,100,84,
2277,Office of the Director of Public Prosecutions,,248,Office of the Director of Public Prosecutions,a,,100,78,
3571,Office of the Federal Ombudsperson for Victims Of Crime,,254,Office of the Umpire,t,2013,78,71,low_score
2278,Office of the Governor General's Secretary,,249,Office of the Governor General's Secretary,a,,100,78,
2281,Office of the Information Commissioner of Canada,,256,Offices of the Information and Privacy Commissioners of Canada,a,,86,85,low_score;collision_top2_close
2275,Office of the Intelligence Commissioner,,244,Office of the Intelligence Commissioner,a,,100,85,
3583,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,,133,Department of National Defence,a,,100,83,
3433,Office of the Parliamentary Budget Officer,,346,Office of the Parliamentary Budget Officer,a,,100,78,
2282,Office of the Privacy Commissioner of Canada,,241,Office of the Commissioner of Lobbying,a,,85,83,low_score
3585,Office of the Procurement Ombudsman,,254,Office of the Umpire,t,2013,78,67,low_score
2279,Office of the Public Sector Integrity Commissioner,,250,Office of the Public Sector Integrity Commissioner,a,,100,85,
3418,Office of the Superintendent of Bankruptcy,,252,Office of the Superintendent of Bankruptcy,a,,100,83,
2280,Office of the Superintendent of Financial Institutions,,253,Office of the Superintendent of Financial Institutions,a,,100,83,
3594,Office of the Taxpayers' Ombudsperson,,254,Office of the Umpire,t,2013,78,61,low_score
3688,Office of the Umpire,,254,Office of the Umpire,t,2013,100,78,
3595,Office of the Veterans' Ombudsman,,254,Office of the Umpire,t,2013,78,66,low_score
3689,Old Port of Montreal Corporation Inc.,,257,Old Port of Montreal Corporation Inc.,t,2012,100,67,
3481,Oshawa Port Authority,,258,Oshawa Port Authority,a,2024,100,83,
3482,Ottawa International Airport Authority,,259,Ottawa International Airport Authority,a,,100,89,
3483,Ouranos Consortium,,260,Ouranos Consortium,a,,100,48,
2298,Pacific Economic Development Agency of Canada,,560,Pacific Economic Development Agency of Canada,a,,100,90,
3659,Pacific Pilotage Authority,,261,Pacific Pilotage Authority,a,,100,83,
3690,Parc Downsview Park Inc.,,262,Parc Downsview Park Inc.,a,,100,47,
2315,Parks Canada Agency,,263,Parks Canada Agency,a,,100,84,
3434,Parliamentary Protective Service,,554,Parliamentary Protective Service,a,,100,59,
2267,Parole Board of Canada,,227,Parole Board of Canada,a,,100,78,
3547,Passport Canada,,264,Passport Canada,t,2013,100,75,
2283,Patented Medicine Prices Review Board,,266,Patented Medicine Prices Review Board,a,,100,63,
3691,Pension Appeals Board,,267,Pension Appeals Board,t,2013,100,76,
3543,Physical Resources Bureau,,268,Physical Resources Bureau,a,,100,57,
3484,"Pierre Elliott Trudeau Foundation, The",,269,"Pierre Elliott Trudeau Foundation, The",a,,100,53,
3612,Policy Horizons Canada,,232,NAV CANADA,a,,75,66,low_score
3485,Porcupine Caribou Management Board,,270,Porcupine Caribou Management Board,a,,100,64,
3486,Port Alberni Port Authority,,271,Port Alberni Port Authority,a,,100,81,
3645,PPP Canada Inc.,,272,PPP Canada Inc.,d,2017,100,83,
3419,Prairie Farm Rehabilitation Administration,,273,Prairie Farm Rehabilitation Administration,a,,100,65,
3701,Prince George 2015 Canada Winter Games Host Society,,274,Prince George 2015 Canada Winter Games Host Society,a,,100,75,
3488,Prince George Airport Authority Inc.,,275,Prince George Airport Authority Inc.,a,,100,85,
3489,Prince Rupert Port Authority,,276,Prince Rupert Port Authority,a,,100,80,
3528,PrioNet Canada,,277,PrioNet Canada,d,2013,100,75,
2284,Privy Council Office,,278,Privy Council Office,a,,100,55,
3676,Public Appointments Commission Secretariat,,279,Public Appointments Commission Secretariat,d,2012,100,80,
2285,Public Health Agency of Canada,,280,Public Health Agency of Canada,a,,100,81,
3663,Public Sector Pension Investment Board,,281,Public Sector Pension Investment Board,a,,100,80,
3587,Public Servants Disclosure Protection Tribunal Canada,,290,Registry of the Public Servants Disclosure Protection Tribunal,t,2014,92,75,
2286,Public Service Commission,,282,Public Service Commission,a,,100,80,
3692,Public Service Labour Relations Board,,284,Public Service Labour Relations Board,t,2014,100,71,
3693,Public Service Staffing Tribunal,,285,Public Service Staffing Tribunal,t,2014,100,71,
3490,Québec Port Authority,,286,Québec Port Authority,a,,100,80,
3491,Regina Airport Authority Inc.,,287,Regina Airport Authority Inc.,a,,100,85,
2287,Registrar of the Supreme Court of Canada,,288,Registrar of the Supreme Court of Canada,a,,100,78,
3694,Registry of the Competition Tribunal,,289,Registry of the Competition Tribunal,t,2014,100,81,
3695,Registry of the Public Servants Disclosure Protection Tribunal,,290,Registry of the Public Servants Disclosure Protection Tribunal,t,2014,100,80,
3696,Registry of the Specific Claims Tribunal,,291,Registry of the Specific Claims Tribunal,t,2014,100,81,
3660,Ridley Terminals Inc.,,292,Ridley Terminals Inc.,t,2019,100,51,
3492,Roosevelt Campobello International Park Commission,,293,Roosevelt Campobello International Park Commission,a,,100,68,
3637,Royal Canadian Mint,,294,Royal Canadian Mint,a,,100,84,
2288,Royal Canadian Mounted Police,,295,Royal Canadian Mounted Police,a,,100,100,collision_top2_close
2289,Royal Canadian Mounted Police External Review Committee,,295,Royal Canadian Mounted Police,a,,100,100,collision_top2_close
3493,Saguenay Port Authority,,298,Saguenay Port Authority,a,,100,81,
3494,Saint John Airport Inc.,,299,Saint John Airport Inc.,a,,100,72,
3495,Saint John Port Authority,,300,Saint John Port Authority,a,,100,89,
3496,Saskatoon Airport Authority,,301,Saskatoon Airport Authority,a,,100,80,
