gc_orgID,harmonized_name_info,harmonized_name_concordance,nom_harmonisé_info,nom_harmonisé_concordance
3435.0,Aéroport de Québec Inc.,Aéroport de Québec Inc.,,Aéroport de Québec Inc.
3436.0,Aéroports de Montréal,Aéroports de Montréal,,Aéroports de Montréal
3437.0,Asia-Pacific Foundation of Canada,Asia-Pacific Foundation of Canada,,Fondation Asie-Pacifique du Canada
3438.0,Association of Canada Lands Surveyors,Association of Canada Lands Surveyors,,Association des Arpenteurs des Terres du Canada
3439.0,Belledune Port Authority,Belledune Port Authority,,Administration portuaire de Belledune
3440.0,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,Buffalo and Fort Erie Public Bridge Authority
3441.0,Calgary Airport Authority,Calgary Airport Authority,,Administration aéroportuaire de Calgary
3442.0,WinSport,WinSport,,WinSport
3443.0,Canada Foundation for Innovation,Canada Foundation for Innovation,,Fondation canadienne pour l'innovation
3444.0,Canada Foundation for Sustainable Development Technology,Canada Foundation for Sustainable Development Technology,,Fondation du Canada pour l'appui technologique au développement durable
3445.0,Canada Games Council,Canada Games Council,,Conseil des Jeux du Canada
3446.0,Canada Health Infoway Inc.,Canada Health Infoway Inc.,,Inforoute Santé du Canada Inc.
3447.0,Canada Media Fund,Canada Media Fund,,Fonds des médias du Canada
3448.0,Canada-Newfoundland and Labrador Offshore Petroleum Board,Canada-Newfoundland and Labrador Offshore Petroleum Board,,Office Canada-Terre-Neuve-et-Labrador des hydrocarbures extracôtiers
3449.0,Canada-Nova Scotia Offshore Energy Regulator,Canada-Nova Scotia Offshore Energy Regulator,,Régie Canada-Nouvelle-Écosse de l'énergie extracôtière
3450.0,Canadian Agency for Drugs and Technologies in Health (CADTH),Canadian Agency for Drugs and Technologies in Health (CADTH),,Agence canadienne des médicaments et des technologies de la santé (ACMTS)
3451.0,Canadian Centre on Substance Use and Addictions,Canadian Centre on Substance Use and Addictions,,Centre canadien sur les dépendances et l'usage de substances
3452.0,Canadian Energy Research Institute,Canadian Energy Research Institute,,Canadian Energy Research Institute
