gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
3451,Canadian Centre on Substance Use and Addictions,,Canadian Centre on Substance Use and Addictions,,,,,,,,,a
3452,Canadian Energy Research Institute,,Canadian Energy Research Institute,,,,,,,,,d
3453,Canadian Institute for Health Information (CIHI),,Canadian Institute for Health Information (CIHI),,,,,,,,,a
3454,Canadian Livestock Records Corporation,,Canadian Livestock Records Corporation,,,,,,,,,a
3455,Canadian Partnership Against Cancer Corporation (CPAC),,Canadian Partnership Against Cancer Corporation (CPAC),,,,,,,,,a
3456,Canadian Patient Safety Institute (CPSI),,Canadian Patient Safety Institute (CPSI),,,,,,,,,d
3457,Canadian Sport Institute Ontario,,Canadian Sport Institute Ontario,,,,,,,,,a
3458,Charlottetown Airport Authority Inc.,,Charlottetown Airport Authority Inc.,,,,,,,,,a
3459,Coaching Association of Canada,,Coaching Association of Canada,,,,,,,,,a
3461,Edmonton Regional Airports Authority,,Edmonton Regional Airports Authority,,,,,,,,,a
3462,Fredericton International Airport Authority Inc.,,Fredericton International Airport Authority Inc.,,,,,,,,,a
3463,Gander International Airport Authority Inc.,,Gander International Airport Authority Inc.,,,,,,,,,a
3464,Greater London International Airport Authority,,Greater London International Airport Authority,,,,,,,,,a
3465,Greater Moncton International Airport Authority Inc.,,Greater Moncton International Airport Authority Inc.,,,,,,,,,a
3466,Greater Toronto Airports Authority,,Greater Toronto Airports Authority,,,,,,,,,a
3467,Halifax International Airport Authority,,Halifax International Airport Authority,,,,,,,,,a
3468,Halifax Port Authority,,Halifax Port Authority,,,,,,,,,a
3469,Hamilton Port Authority,,Hamilton Port Authority,,,,,,,,,a
3470,Institut national du sport du Québec,,Institut national du sport du Québec,,,,,,,,,a
3471,Internal Trade Secretariat Corporation,,Internal Trade Secretariat Corporation,,,,,,,,,a
3472,International Fisheries Commissions Pension Society,,International Fisheries Commissions Pension Society,,,,,,,,,a
3473,Lake of the Woods Control Board,,Lake of the Woods Control Board,,,,,,,,,a
3474,Maritime Forestry Complex Corporation,,Maritime Forestry Complex Corporation,,,,,,,,,a
3475,Mental Health Commission of Canada (MHCC),,Mental Health Commission of Canada (MHCC),,,,,,,,,a
3476,Milit-Air Inc.,,Milit-Air Inc.,,,,,,,,,a
3477,Montréal Port Authority,,Montréal Port Authority,,,,,,,,,a
3478,Nanaimo Port Authority,,Nanaimo Port Authority,,,,,,,,,a
3479,"Nature Trust of British Columbia, The",,"Nature Trust of British Columbia, The",,,,,,,,,a
3480,NAV CANADA,,NAV CANADA,,,,,,,,,a
3481,Oshawa Port Authority,,Oshawa Port Authority,,,,,,,,,a
